1976 US Standard Atmosphere, tabulated
Altitude (km)	Pressure (Pa)	T (K)         	Rho (kg/M^2)	mu (cP) 	SonicVel (m/s)	
133.00000000	0.00101088	496.37798977	0.00000001	0.02657336	446.63358316
134.00000000	0.00094423	505.41399002	0.00000001	0.02690165	450.68047871
135.00000000	0.00088304	514.44999027	0.00000001	0.02722679	454.69135704
136.00000000	0.00082678	523.48599052	0.00000001	0.02754888	458.66716304
137.00000000	0.00077498	532.52199078	0.00000001	0.02786798	462.60880097
138.00000000	0.00072721	541.55799103	0.00000000	0.02818418	466.51713690
139.00000000	0.00068311	550.59399128	0.00000000	0.02849753	470.39300091
140.00000000	0.00072000	559.63000488	0.00000000	0.02880811	474.23719483
141.00000000	0.00067764	567.10600471	0.00000000	0.02906302	477.39431203
142.00000000	0.00063827	574.58200455	0.00000000	0.02931611	480.53068723
143.00000000	0.00060166	582.05800438	0.00000000	0.02956742	483.64672394
144.00000000	0.00056757	589.53400421	0.00000000	0.02981698	486.74281277
145.00000000	0.00053581	597.01000404	0.00000000	0.03006483	489.81933198
146.00000000	0.00050619	604.48600388	0.00000000	0.03031099	492.87664805
147.00000000	0.00047854	611.96200371	0.00000000	0.03055549	495.91511612
148.00000000	0.00045271	619.43800354	0.00000000	0.03079838	498.93508055
149.00000000	0.00042856	626.91400337	0.00000000	0.03103966	501.93687532
150.00000000	0.00045000	634.39001465	0.00000000	0.03127938	504.92082905
151.00000000	0.00042652	640.58001471	0.00000000	0.03147670	507.37820761
152.00000000	0.00040447	646.77001476	0.00000000	0.03167298	509.82374160
153.00000000	0.00038376	652.96001482	0.00000000	0.03186823	512.25760067
154.00000000	0.00036429	659.15001488	0.00000000	0.03206248	514.67995045
155.00000000	0.00034597	665.34001493	0.00000000	0.03225572	517.09095268
156.00000000	0.00032873	671.53001499	0.00000000	0.03244799	519.49076535
157.00000000	0.00031250	677.72001505	0.00000000	0.03263928	521.87954284
158.00000000	0.00029720	683.91001511	0.00000000	0.03282963	524.25743598
159.00000000	0.00028279	690.10001516	0.00000000	0.03301902	526.62459221
160.00000000	0.00030000	696.28997803	0.00000000	0.03320749	528.98114155
161.00000000	0.00028569	701.41797781	0.00000000	0.03336293	530.92547448
162.00000000	0.00027215	706.54597759	0.00000000	0.03351775	532.86271288
163.00000000	0.00025935	711.67397738	0.00000000	0.03367195	534.79293386
164.00000000	0.00024724	716.80197716	0.00000000	0.03382554	536.71621312
165.00000000	0.00023577	721.92997694	0.00000000	0.03397853	538.63262504
166.00000000	0.00022491	727.05797672	0.00000000	0.03413093	540.54224265
167.00000000	0.00021462	732.18597651	0.00000000	0.03428273	542.44513770
168.00000000	0.00020487	737.31397629	0.00000000	0.03443395	544.34138070
169.00000000	0.00019563	742.44197607	0.00000000	0.03458460	546.23104092
170.00000000	0.00021000	747.57000732	0.00000000	0.03473467	548.11419799
171.00000000	0.00020400	751.82000732	0.00000000	0.03485862	549.67002813
172.00000000	0.00019800	756.07000732	0.00000000	0.03498219	551.22146693
173.00000000	0.00019200	760.32000732	0.00000000	0.03510538	552.76855136
174.00000000	0.00018600	764.57000732	0.00000000	0.03522818	554.31131790
175.00000000	0.00018000	768.82000732	0.00000000	0.03535062	555.84980250
176.00000000	0.00017400	773.07000732	0.00000000	0.03547268	557.38404060
177.00000000	0.00016800	777.32000732	0.00000000	0.03559437	558.91406718
178.00000000	0.00016200	781.57000732	0.00000000	0.03571569	560.43991674
179.00000000	0.00015600	785.82000732	0.00000000	0.03583666	561.96162329
180.00000000	0.00015000	790.07000732	0.00000000	0.03595726	563.47922041
181.00000000	0.00014600	793.59400725	0.00000000	0.03605700	564.73448348
182.00000000	0.00014200	797.11800718	0.00000000	0.03615648	565.98696261
183.00000000	0.00013800	800.64200711	0.00000000	0.03625573	567.23667622
184.00000000	0.00013400	804.16600704	0.00000000	0.03635474	568.48364256
185.00000000	0.00013000	807.69000697	0.00000000	0.03645351	569.72787967
186.00000000	0.00012600	811.21400690	0.00000000	0.03655204	570.96940538
187.00000000	0.00012200	814.73800683	0.00000000	0.03665034	572.20823734
188.00000000	0.00011800	818.26200676	0.00000000	0.03674840	573.44439302
189.00000000	0.00011400	821.78600669	0.00000000	0.03684623	574.67788969
190.00000000	0.00011000	825.30999756	0.00000000	0.03694383	575.90874127
191.00000000	0.00010700	828.23499751	0.00000000	0.03702467	576.92838427
192.00000000	0.00010400	831.15999746	0.00000000	0.03710535	577.94622837
193.00000000	0.00010100	834.08499742	0.00000000	0.03718587	578.96228305
194.00000000	0.00009800	837.00999737	0.00000000	0.03726624	579.97655772
195.00000000	0.00009500	839.93499732	0.00000000	0.03734645	580.98906170
196.00000000	0.00009200	842.85999727	0.00000000	0.03742651	581.99980424
197.00000000	0.00008900	845.78499722	0.00000000	0.03750642	583.00879448
198.00000000	0.00008600	848.70999718	0.00000000	0.03758617	584.01604152
199.00000000	0.00008300	851.63499713	0.00000000	0.03766577	585.02155436
200.00000000	0.00008000	854.55999756	0.00000000	0.03774523	586.02534209
